angle	ah sh
hain"	one s
 cool	i can
nesse	what 
sts g	sound
eo :o	holy 
ssie?	lmao
🐱	have 
 over	that’
guess	feeli
s now	do yo
sions	but n
🐱	ahhh
 when	hooki
ookup	yeah,
 with	hmmm
stuff	yeh?
girls	yeh i
t....	hmm y
 rant	boili
tside	yeh s
 rain	holy 
0 min	hey o
🐱	🐱
ecide	hot d
wdym	do yo
lings	are y
th me	it’s 
 a bf	yeah 
irony	sound
eason	it se
esult	you a
🐱	i wou
🐱	hmmm 
 lmao	lol b
be ok	alrig
lol	holy 
doing	i’ve 
ng on	i’m c
s lol	shit 
ester	lol w
 week	that’
have?	fuk
rip	just 
yup	you’v
ness?	it’s 
althy	reall
wierd	that’
inner	the p
rking	why y
o wut	fruit
ruits	lmao 
story	hey d
hitty	lol n
 kira	i'll 
ating	wait 
acter	🐱
🐱	lol
hind?	dude 
 else	i had
 life	yeah,
ssmen	yeah 
think	but i
t ppl	you k
r fun	isn't
ssure	my mo
lters	yeah 
hings	yeah 
 urop	is th
yes	nice 
🐱	oh ye
y mit	if i 
hoice	yuhhh
taped	lol w
 frat	that'
alive	ohhh
yee	do yo
 hand	huh l
smthn	that'
t mit	i tho
 free	don't
th er	oh sh
comic	lol
 mine	oh sh
uters	lol b
y gtg	lol y
hanks	shit 
shoot	lol w
lmk	back
oday?	yeh, 
🐱	i jus
 not?	hw
lass?	idk, 
rip	yeh r
onger	dude 
🐱	dude 
 play	idk, 
h me"	tbh n
crew?	we ha
oh ic	oly f
song?	no, i
 area	*whew
yup	what 
ch it	awwww
n lol	oh di
a lot	dude 
wfym	yeh i
ength	idk w
d out	nah i
 now?	eh ki
ahrad	i jus
y do?	i've 
ities	and i
 wdym	as i 
🐱	ok, g
 time	fuk d
 rude	lmao
otics	i spe
lol	so if
ation	they 
 part	but i
money	that'
jects	i gue
 join	the w
ities	dange
n wut	sorry
 week	perso
blah"	all i
 fine	what 
🐱	that 
 time	now t
tkme5	i got
🐱	🐱
tions	yeah 
 lab?	human
e wut	the c
ction	vario
🐱	i app
thing	ikr
irite	i don
🐱	my bi
 cool	oohh 
 that	it's 
yo	ye?
d lol	nioce
untu?	out o
ng it	only 
ye	what 
a hoe	on ss
i can	feels
g hoe	yeah 
 home	oh bt
stros	are y
puter	i kno
buntu	oh th
oying	eh it
ll up	yeah 
jects	robot
oh ic	those
ya	back 
ckage	well 
e 60?	and u
ndows	yeah 
ition	60 gb
well	the o
kages	maybe
luded	holy 
odels	oh in
smthn	maybe
🐱	i don
orian	like 
y lol	lol i
 call	i’m s
ok	wow d
t low	lol
ye	you s
t=263	 foxy
)))))	🐱
🐱	🐱
 move	i agr
g sam	lol
rip	yeah,
nding	was t
🐱	wait,
exual	it's 
🐱	🐱
latin	oh my
🐱	how's
term?	midte
ategy	ooh a
crazy	lol
e cmu	yeah 
s etc	but i
🐱	did y
dized	i’m s
thing	like 
e yet	lol
🐱	oh sh
story	there
ed it	yeah 
 lmao	prior
yup	where
eless	lol n
dream	turne
 w\ut	yeah 
 josh	fuk d
ssing	dude 
hanks	i not
?	i'm g
feelz	i jus
🐱	that 
hmmmm	idk, 
memes	lol
ay no	every
lzzzz	she h
ware"	holy 
quad?	i fee
 u do	hang 
? lol	holy 
twork	are y
iming	lmao
n lol	nah t
m lol	like 
 life	yeah 
hmm	i thi
orate	i cam
r lab	yeah
etups	bruh,
r lab	why d
ealth	lmao
 such	for t
lmao	maybe
do it	or i 
or me	lmao 
rtups	you g
dless	show 
l see	oh da
learn	and a
itiy?	lol i
rview	i onl
rding	i gue
ntage	worst
mpus?	agili
bike	it’s 
lol	first
🐱	well 
s ass	i kno
tired	holy 
 then	that’
 lmao	this 
 dick	lol
dicks	there
smh	that’
mpire	virgi
eague	well 
grade	lol
chool	oh ye
 shit	here’
a bit	lol t
wrong	baidu
 shit	dude
smart	it's 
rip	oh sh
sarah	i'll 
🐱	no
g ppl	other
ploma	lol
rtive	i'll 
n lol	good 
thxx	🐱
hbu	insec
 sick	it’s 
h nah	oohhh
hings	behin
 ways	lol
th me	there
n lol	lol n
sleep	do yo
od at	so yo
guess	what 
hitty	yeah 
 week	yeah 
still	i don
🐱	i’ve 
 less	how c
ing u	yeah 
t too	oh da
 homo	<3
 lmao	holy 
r lol	what 
n lol	ohhh
l why	cuz t
 to u	i tec
🐱	he’s 
while	he’s 
ptops	i did
e roy	yeah
d ppl	what 
y urs	next 
🐱	🐱
e low	why s
s tho	ayyy,
n lol	of co
d one	yeah 
bears	🐱
15kas	lol w
 meme	like 
eeeee	lol
elete	oh my
ublic	how d
0 hrs	past 
p man	holy 
ou ok	yeh i
 that	what 
lol	the o
 cool	ikr
e you	did s
a lol	you e
 piss	huh
psets	fuk, 
😫	wow w
? no	the v
wut	
t the	"rich
group	yeah 
maooo	dude 
?	i fin
ld on	nah i
🐱	know 
🐱	🐱
to me	or th
ikely	hey a
rence	lol y
.....	i’ve 
hamks	how w
at 10	appar
n ago	wait
efire	"i wa
 k3km	wanna
a bit	damn 
harge	be ca
hing?	lol
 died	i jus
 hard	well 
then?	yeah,
 cool	hm so
lmao	but t
years	i mea
means	but t
y ppl	it’s 
ision	well 
logic	oh li
good	lol s
ijwef	lmao
 fuck	so uh
lmao	is th
 show	code 
 time	lol
nsive	wait,
alley	lmao
cally	you n
 weeb	cowbo
anime	the c
🐱	jesus
🐱	yeh c
 know	there
thing	and a
video	"i'm 
a lol	nah i
ants?	i als
alone	don't
 shit	nah m
movie	holy 
 dope	block
rians	how t
hhhhh	yeh o
break	oh sh
 ppl?	no lo
mmer?	where
rview	dayum
🍆🔥💦👅😩	votin
lol	what 
uh	and i
o lol	lmao
 safe	yeah 
using	holy,
etter	idk m
l set	i can
about	i sup
 good	there
esume	oh ye
t way	i’m p
le is	since
lf as	“volu
s too	yeh t
teer"	idk w
ching	lol w
🐱	🐱
 shit	yeah 
we go	also 
seful	i thi
 shit	the s
 open	yeah,
lmao	short
ch up	lmao 
ences	da fu
 that	aw sh
ullet	is th
lol	don’t
 that	aw ma
w tho	what 
o you	hebi 
wierd	whatt
rious	lol
y lol	wait 
g day	wait 
a sem	🐱
h art	greek
eys 😍	"i go
cgues	wut, 
 like	oh yu
g lol	ahhh
a lot	bruh,
 from	get o
yoooo	i had
rt am	ah ye
lol	lmao
 bruh	whoa
ambda	i'm a
p lol	yeh, 
 song	appar
tilia	ye, m
rlson	only 
ocial	i hav
rning	didn'
s man	i mea
 idea	da fu
thing	oh i 
ya..	idk, 
wages	yeah,
money	yeah,
ye...	time 
 room	or i 
o roy	i not
 4:40	fuk d
dread	lol
wdym	for a
iting	fuk t
 want	nah i
 add?	you m
yways	idk, 
🐱	no ho
done	oh da
d lol	damn,
🐱	🐱
luck!	thank
lol	oh sh
 days	you s
glass	yeah 
lmaoo	you e
or me	damn 
thing	lol i
 nice	yeh i
illin	conti
meh	reall
night	🐱
g tho	https
o wtf	hey m
wod4q	idk i
🐱	was t
 *eh*	lmao
yup	fukkk
 late	lo si
damn	hey h
reeee	yeee,
thday	lol
again	lol
y man	lol n
ving?	lots 
urner	yeh, 
bitch	🐱
doing	i fou
e lol	i pla
damn	🐱
 life	holy 
s end	wedne
 good	i nee
hadow	and t
thing	lol
l see	i swe
lmao	how i
after	wait 
grasp	it mi
ya	i wan
times	btw d
lol	oh
 osu?	nah t
right	but t
break	some 
break	i hop
e too	that'
 back	welp 
e :'(	lol y
elfir	yeh
5 min	aight
nded.	aha! 
9&p=1	yeah 
urday	oh sh
 good	like 
🐱	🐱
album	is it
nkeys	you’r
text?	loren
owing	yeh t
n lol	compa
g lol	like 
🐱	🐱
weebs	comin
quips	that’
 weeb	your 
fuzzy	all t
olics	fuck 
g :')	yeh f
l wtf	right
back!	thank
d out	lmaoo
ampus	aight
 back	aw sh
o her	shizz
oh	it’s 
e out	i’m h
thryn	lulus
kiera	short
em up	but s
ye	fuk t
snacc	i sho
cital	music
nope	fuk d
damn	it fe
coast	at le
damn	aight
enter	do yo
venmo	bruh 
 dont	jk jk
ye	gonna
 line	nah i
worse	man o
yeee	yeh m
erene	you s
 frat	lmao
🐱	“what
sted"	“with
:')	fuk i
dall?	yeh
ation	yeh
 walk	fuk i
lol	lmao
lcome	hardc
🐱	if i 
assie	stick
lol	a lot
us rn	lmao
here?	yeh
floor	there
black	how a
ep it	you’r
yee	lulu 
 nice	godda
next?	nah
floor	nah w
 dome	there
lol	damn
at bc	ahhh
night	ahhh
k lol	i see
